Year,County,Waterbody,Town,Month,Number,Species,Size
2020,Hamilton,S Upper Pine Pond,Wells,September,130.0,Brook Trout,4.5
2016,Westchester,Peekskill Hollow Brook,Cortlandt,March,150.0,Brown Trout,13.5
2016,Delaware,Cannonsville Reservoir,Deposit and Tompkins,March,6470.0,Brown Trout,9.1
2014,Allegany,Dyke Creek,Andover,April,200.0,Brown Trout,13.4
2014,Nassau,Oyster Bay Mill Pond,Oyster Bay,March,100.0,Brown Trout,13.3
2019,Allegany,Canaseraga Creek,Burns,April,1680.0,Brown Trout,9.0
2013,Jefferson,Lake Ontario,Henderson,May,39810.0,Lake Trout,6.9
2018,Livingston,Rattlesnake Pond 2,Ossian,October,200.0,Brook Trout,6.3
2016,Broome,Chenango Lake,Fenton,April,3000.0,Rainbow Trout,9.3
2012,Jefferson,Black River,Watertown,April,4440.0,Brown Trout,7.5
2019,Sullivan,Willowemoc Creek,Neversink,June,1000.0,Brown Trout,9.2
2014,Delaware,Delaware River East Branch,Middletown,April,1670.0,Brown Trout,8.7
2013,Fulton,Cayadutta Creek,Johnstown(t),May,690.0,Brown Trout,8.0
2013,Essex,Ausable River,Chesterfield,May,800.0,Rainbow Trout,13.0
2012,Chautauqua,Canadaway Creek,Arkwright,April,240.0,Brook Trout,8.0
2020,Greene,Batavia Kill,Windham,March,440.0,Brown Trout,8.8
2011,Washington,Dead Lake,Jackson,May,250.0,Brown Trout,13.1
2011,Essex,Saranac River,St. Armand,May,25.0,Rainbow Trout,19.0
2019,Putnam,West Branch Reservoir,Carmel,April,4430.0,Brown Trout,9.1
2013,Essex,Putnam Creek,Crown Point,March,750.0,Brown Trout,13.0
2015,St Lawrence,Spectacle Ponds,Clifton,October,300.0,Brook Trout,4.5
2020,Essex,West Branch Ausable River,Wilmington,April,900.0,Brown Trout,14.0
2019,Essex,West Branch Ausable River,Jay,May,250.0,Brown Trout,13.0
2020,Otsego,Schenevus Creek,Maryland,May,1640.0,Brown Trout,8.9
2015,Essex,Barnes Pond,Minerva,September,500.0,Brook Trout,4.6
2019,Hamilton,Haymarsh Pond,Long Lake,September,700.0,Brook Trout,4.2
2014,Warren,Eagle Pond,Johnsburg,September,150.0,Brook Trout,3.7
2016,Greene,Catskill Creek,Cairo,April,300.0,Brown Trout,13.6
2012,Allegany,Vandermark Creek,"Scio, Ward",April,1060.0,Brown Trout,8.0
2019,Hamilton,Moose River,"Inlet, Arietta",May,600.0,Brook Trout,7.8
2012,Lewis,Oswegatchie River West Branch,Diana,April,770.0,Brook Trout,8.8
2014,Putnam,Lake Gleneida,Carmel,April,790.0,Rainbow Trout,8.9
